ID-num	Piece	File Name	Section	section Order	date-opus	size	info	faq	Price
1	how far	how far.webp	1	1	2021-07-01	38Ó x 24Ó	"archival print, color pencil."	application of mechical drawing to wonder about problems of distance and separation	nfs
2	hope	hope.webp	1	11	2021-11-01	"22"" x 18"""	"archival print,  ink marker."	application of mechical drawing to wonder about seeking virtue/grace	gifted
3	after/because	after-because.webp	1	6	2022-08-11	36Ó x 29Ó	"archival print, color pencil,  ink marker."	application of coordinate system to wonder about causation	gifted
4	Field Theory #1	Field Theory 1.webp	1	7	2024-05-01	"50"" x 18"""	"archival print, color pencil,  ink marker."	"field, e^x, 0, 1 and I, because trancendental."	gifted
5	Network of Bales  (after Duchamp)	Network of Bales (after Duchamp).webp	1	4	2024-07-01	"32"" x 24"" "	"archival print,  pastels, ink marker, color pencil."	"Twenty-some years ago, I visited New York MoMA. I saw a magnificent painting by Marcel Duchamp titled Network of Stoppages. The image took up permanent residence in my brain. It has influenced my work and informed how I think about art. Network of Bales is an expression of my continuing amazement and gratitude.<img src=""../images/Duchamp Network of Stoppages.webp"" alt=""Duchamp, Network of Stoppages"""	nfs
6	calculating area	calculating area.webp	1	2	2024-07-02	38Ó x 24Ó	"archival print, color pencil."	application of calculus to wonder about how much there is	sold
7	Field Theory #2	Field Theory 2.webp	1	8	2025-01-01	"48"" x 18"""	"archival print, color pencil,  ink marker."	"field, the natural log and e^x functions, real and imaginary axes."	sold
8	Field Theory #3	Field Theory 3.webp	1	9	2025-01-02	"48"" x 18"""	"archival print, color pencil,  ink marker."	"field, matricies, determinants/absolute values, matrix alebra."	sold
9	Field Theory #4	Field Theory 4.webp	1	10	2025-01-03	"48"" x 18"""	"archival print, color pencil."	"field, numbers, natural, real. infinities, Aleph sub naught, Aleph sub one."	"800. framed. Museum Acrylic glazing,"
10	Network(s) of Bales + Outliers	Network(s) of Bales + Outliers.webp	1	5	2025-03-01	36Ó x 29Ó	"archival print,  ink marker."	"application of network mapping to natural objects as arranged by human and maching effort, and chance"	sold
11	"Earth, Sky, Mortals, Divinities"	fourfold.webp	1	3	2025-08-01	"24"" x 22"""	"archival prints, color pencil,  ink marker."	The Fourfold (hat tip Heidegger)	"800. framed.  Museum Acrylic glazing,"
12	35mm Slide/Mt Rainier Ice Cave	35mm Slide Mt Rainier Ice Cave.webp	2	2	2023-08-01	"19"" x 24"""	archival print	"35mm Color Slide image taken in 1980 inside Mt Rainier ice cave (no longer there - climate change).  Slide and cardboard surround photograped with hi-res digital camera, images composited and printed in 2023. "	gifted
13	SX-70 Eclipse	SX-70 Eclipse.webp	2	3	2023-10-01		archival print	"35mm Color Slide image taken during 1979 total exclipse.  slide image projected on textured wall and photographed for the 2nd time with an SX-70 camera in 1980.  SX-70 fim photographed for the 1st, eclipse image for the 3rd time, the with a hi-res digital camera and printed in 2023."	gifted
14	SX-70 Unbrella 	SX-70 Umbrella.webp	2	4	2025-02-01	44Ó x 37Ó	archival print	"SX-70 photo as Object/Subject, much larger than canonical size, to make the point?"	750. 1 of 1 at this size.  1 of 5 total. framed. acyrlic spray coating.
15	SX-70 Parka 	SX-70 Parka.webp	2	5	2025-02-02	44Ó x 37Ó	archival print	"SX-70 photo as Object/Subject, much larger than canonical size, to make the point?"	sold
16	"(yellow and red, yellow and black)"	"(yellow-red, yellow-black).webp"	2	1	2026-08-01	45 x 26  (22 x 26 each)	archival print	"Ordered Pair Diprych.  Experimental Serendipity. never placed in camera,  developer rolled out with a wooden dowel in a dark room, SX-70 film as Object. Not actual size - like the objects in almost all photos."	in process
